,use_category,use_subcategory,skintype,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,cleanser,face wash,normal,Peter Thomas Roth,Travel Size Anti-Aging Cleansing Gel,Size 2.0 oz|,"Price
$12.00","Oil-free, anti-wrinkle technology helps to clarify and brighten with glycolic acid, salicylic acid, extracts of peach, white oak bark, lemon, lime, linden, grapefruit, and arginine. An advanced deep pore resurfacing action supports natural cell turnover to help diminish the appearance of fine lines, wrinkles, and other signs of aging.

It helps to effectively detoxify the pores, dissolve makeup, emulsify oil, and improve skin texture as it gently sweeps away dead skin cells and impurities that can make the complexion appear dull. Ideal for all skin types except sensitive skin, including dry, sun damaged, normal, combination, oily, and acne prone skin, this gel produces an ultraclean, refined, and revitalized complexion.","Water/Aqua/Eau, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Lauryl Glucoside, Propylene Glycol, Salicylic Acid, Glycolic Acid, Quercus Alba Bark Extract, Citrus Grandis (Grapefruit) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Citrus Aurantifolia (Lime) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Arginine, Tilia Cordata Flower Extract, Allantoin, BHT, Panthenol, Butylene Glycol, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Amyl Cinnamal, Linalool, Fragrance/Parfum, Red 40 (CI 16035), Yellow 5 (CI 19140).",4.2,,39 Reviews,https://www.ulta.com/travel-size-anti-aging-cleansing-gel?productId=xlsImpprod15471007,3
1,cleanser,face wash,normal,Awake Beauty,Glow Smoothie Jelly Cleanser,Size 5 oz|,"Price
$22.00","Glow Smoothie Jelly Cleanser from Awake is a superfruit smoothie for super clean skin! This smooth-lather cleanser lifts dirt, oil & makeup without stripping skin.

Who It's For: All skin types

What It Does:
apple amino acids helps hydrate & keep skin looking supple & healthy
acai berry powerful antioxidant packed with vitamins A, B, C, & E to restore moisture
pineapple-rich in Vitamin C to help brighten & even skin tone


The Awake Effect:

Fruit extracts like Acai berry, pineapple, raspberry & grapefruit are blended together just like a smoothie for your skin
Naturally rich in micronutrients, these ingredients keep your skin looking happy, healthy & supple.



Ingredients:
Apple amino acids
Acai berry
Pineapple","Water/Aqua/Eau, Glycereth-18 Ethylhexanoate, Glycerin, Sodium C14 16 Olefin Sulfonate, Cocamidopropyl Betaine, Sodium Cocoyl Apple Amino Acids, Glycereth-18, Xanthan Gum, Sodium Chloride, Hexylene Glycol, Sodium Levulinate, Citric Acid, Butylene Glycol, Disodium EDTA, Potassium Sorbate, Decyl Glucoside, Lauryl Glucoside, Citrus Grandis (Grapefruit) Peel Extract, Tetrasodium EDTA, Limonene, 1,2-Hexanediol, Agar, Calcium Alginate, Gellan Gum, DMDM Hydantoin, Phenoxyethanol, Alcohol, Citrus Aurantium Dulcis (Orange) Peel Extract, Pimpinella Anisum (Anise) Fruit Extract, Rubus Idaeus (Raspberry) Fruit Extract, Vanilla Planifolia (Vanilla) Fruit Extract, Mica, Propylene Glycol, Ananas Sativus (Pineapple) Fruit Extract, Euterpe Oleracea (Açaí) Fruit Extract, Gardenia Jasminoides Fruit Extract, Lavandula Angustifolia (Lavender) Extract, Prunus Armeniaca (Apricot) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Vitis Vinifera (Grape) Fruit.",4.8,,21 Reviews,https://www.ulta.com/glow-smoothie-jelly-cleanser?productId=pimprod2009714,3
2,cleanser,face wash,normal,Vichy,Pureté Thermale Mineral Micellar Water for Sensitive Skin,Size 6.7 oz|,"Price
$14.50","Vichy Pureté Thermale Mineral Micellar Water for Sensitive Skin is a quick, effective cleanser created for sensitive skin. This multi-benefit formula cleanses skin, removes make-up, soothes & fortifies all in one simple step. No rubbing or rinsing required. Enriched with Panthenol (Pro-Vitamin B5), this formula with unique micellar technology leaves skin clean, fortified, and soothed. With Vichy Mineralizing Thermal Water to help hydrate and reinforce the skin barrier.

Benefits:
Paraben-free
Suitable for contact lens wearers
Alcohol-free
Paraben-free
Soap-free 
Sensitive skin tested
Non-comedogenic
Non-drying
Non-greasy 
Tested under dermatological and ophthalmological control for safety
Brand Story: Founded in France in 1931, Vichy's formulas combine clinically-proven ingredients with mineral-rich volcanic water to deliver real results to women of all ages. Today, Vichy is the #1 Anti-Aging Brand in European pharmacies.","Aqua, Hexylene Glycol, Glycerin, Sodium Cocoamphoacetate, Sodium Chloride, Poloxamer 184, Disodium Edta, Panthenol, Myrtrimonium Bromide, Parfum.",4.6,,111 Reviews,https://www.ulta.com/purete-thermale-mineral-micellar-water-sensitive-skin?productId=pimprod2004937,3
3,cleanser,face wash,normal,GLAMGLOW,GENTLEBUBBLE Daily Conditioning Cleanser,Size 0.5 oz|,"Price
$29.00","GLAMGLOW GENTLEBUBBLE Daily Conditioning Cleanser is packed with oat amino acids condition the skin while gentle bubbles deeply cleanse and dissolve makeup. Blended with apple extract, vitamin E, and TEAOXI Green Tea Leaf, this gentle foaming cleanser is inspired by the rainbow aura of bubbles.

Key ingredients:
Teaoxi Green Tea Leaf: Infuses antiaging antioxidants to combat the day's stressors with essential vitamins for the appearance of an even, flawless complexion
Oat Amino Acids: Helps condition
Apple Extract and Vitamin E: Deeply cleanses
¿ Teaoxi Green Tea Leaf: Infuses antiaging antioxidants to combat the day's stressors with essential vitamins for the appearance of an even, flawless complexion. ¿ Oat Amino Acids: Helps condition. ¿ Apple Extract and Vitamin E: Deeply cleanses.","Water\Aqua\Eau, Sodium Cocoyl Glycinate, Glycerin, Cocamidopropyl Hydroxysultaine, Sodium Lauroamphoacetate, Sodium C14-16 Olefin Sulfonate, Pyrus Malus (Apple) Fruit Extract, Acrylates Copolymer, Cocamidopropyl Betaine, Sodium Lauroyl Oat Amino Acids, Tocopheryl Acetate, Camellia Sinensis Leaf Extract, Ethylhexylglycerin, Maltooligosyl Glucoside, Hydrogenated Starch Hydrolysate, Sodium Chloride, Tin Oxide, Sodium Hydroxide, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Caprylyl Glycol, Propanediol, Citric Acid, Lauric Acid, Coconut Acid, Polysorbate 20, Polyester-11, Peg-150 Pentaerythrityl Tetrastearate, Ppg-2 Hydroxyethyl Cocamide, Sodium Cocoamphoacetate, Disodium Edta, Tetrasodium Edta, Phenoxyethanol, Mica, Titanium Dioxide (Ci 77891).",4.8,,25 Reviews,https://www.ulta.com/gentlebubble-daily-conditioning-cleanser?productId=pimprod2017747,3
4,cleanser,face wash,normal,StriVectin,Moisture Matrix Melting Cleanser,Size 4 oz|,"Price
$35.00","This transforming cleanser not only melts away makeup and impurities with ease, but also nourishes skin with a lasting veil of moisture. A skin-loving super blend of ingredients transforms from a hydrating gel, to a silky oil to a rich milk, removing dirt, pollution and stubborn makeup, without stripping or drying - for skin that is soft, supple and glowing.

Key Benefits:
Four-Oil Super Blend (marula, avocado, sweet almond and grapeseed) gently removes makeup and impurities while leaving skin hydrated
Dandelion Leaf Extract neutralizes environmental stressors for improved radiance
Rice Bran & Sunflower Extracts soothe & nourish skin

Immediately*:
100% agreed skin felt smoother, softer and refreshed
97% agreed skin felt more hydrated and supple
97% agreed skin felt nourished
*Based on consumer evaluation immediately post-application, when used as directed

StriVectin products are:
cruelty free
paraben free
suitable for all skin types

StriVectin is a collection of smart, targeted solutions for aging and changing skin. They combine advanced, high-performance skincare ingredients with their patented NIA-114 technology to deliver real, visible, clinically proven results.","Caprylic/Capric Triglyceride, Glycerin, Aqua (Water, Eau), Persea Gratissima (Avocado) Oil, Sucrose Laurate, Sucrose Stearate, Sucrose Palmitate, Sclerocarya Birrea Seed Oil, Vitis Vinifera (Grape) Seed Oil, Myristyl Nicotinate, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Oryza Sativa (Rice) Bran Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Helianthus Annuus (Sunflower) Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Lavandula Hybrida Oil, Fragrance (Parfum), Taraxacum Officinale (Dandelion) Extract, Ethylhexylglycerin, Tocopherol, Butylphenyl Methylpropional, Linalool, Limonene, Benzyl Salicylate, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Phenoxyethanol, CI 16035 (Red 40)",4.3,,93 Reviews,https://www.ulta.com/moisture-matrix-melting-cleanser?productId=xlsImpprod18931442,3
5,cleanser,face wash,normal,TONYMOLY,Vital Vita 12 Jelly Cleanser,Size 5.0 oz|,"Price
$18.00","Containing chlorella and spirulina this gentle yet powerful TONYMOLY Vital Vita 12 Jelly Cleanser clears pores of any impurities without stripping the skin of its natural oils. The Vital Vita 12 collection features TONYMOLY's exclusive Vita-12 multi-vitamin compound which provides an all around solution for many common skin concerns. Using nanosome technology, 12 types of vitamins (A, B1, B3, B5, B6, B8, B12, C,E,F,H) are combined to create a highly effective multi-vitamin blend that targets a wide variety of skin concerns such elasticity, brightness, hydration and nourishment.

Key Ingredients:
12% Vita-12 Multi-Vitamin Compound
Squalane",Myristic Acid Stearic Acid Lauric Acid Triethanolamine Palmitic Acid Glycerine Purified Water Sodium Hydroxide Propylene Glycol Cocos Nucifera (Coconut) Oil Elaeis Guineensis (Palm) Oil Yellow Ocher (Ocher Clay) Eggs White Tetra Sodium Salt Triclosan Perfume.,4.2,,15 Reviews,https://www.ulta.com/vital-vita-12-jelly-cleanser?productId=pimprod2012952,3
6,cleanser,face wash,normal,Botanics,All Bright Cleansing Foam Wash,Size 5.0 oz|,"Price
$6.99","Botanics All Bright Cleansing Foam Wash is a foaming, soap-free face wash, infused with natural exfoliants from the hibiscus plant, gently lifts away dirt, excess oil and impurities from the surface of the skin. The complexion is left feeling clean and looking brighter.","Aqua (Water), Sodium lauroyl methyl isethionate, Cocamidopropyl betaine, Lauric acid, Sodium chloride, Sodium methyl isethionate, Glycerin, Tetrasodium EDTA, Stearyl citrate, Lauryl glucoside, Zinc laurate, Parfum (Fragrance), Hibiscus sabdariffa flower extract, Dipropylene glycol, Citric acid, Benzoic acid, Methylisothiazolinone, Phenoxyethanol, Dehydroacetic acid, Ethylhexylglycerin.",4.2,,218 Reviews,https://www.ulta.com/all-bright-cleansing-foam-wash?productId=xlsImpprod15381019,3
7,cleanser,face wash,normal,Plant Apothecary,Rice & Clean Gentle Facial Cleanser,Item 2557643,"Price
$24.00","Plant Apothecary's Rice & Clean Gentle Facial Cleanser's star ingredient is rice bran, which has long been Japan's secret to smooth, soft, clear skin (geishas traditionally used water left over from washing rice in the bath, for soft skin all over). It naturally contains gamma oryzanol, which has been shown in studies to both soften skin and protect it from UV light damage. Here it joins forces with soothing, antibacterial chamomile to make a gentle cleanser for all skin types.","Oryza Sativa (Rice) Bran), Matricaria Recutita (Chamomile) Flowers,* Tocopherol (Vitamin E).
*Organic",4.4,,21 Reviews,https://www.ulta.com/rice-clean-gentle-facial-cleanser?productId=pimprod2012193,3
8,cleanser,face wash,normal,Clinique,Travel Size Foaming Sonic Facial Soap,Size 1.0 oz|,"Price
$5.50","Creamy foaming facial soap created for sonic cleansing brush. Helps bristles glide across face. Gently yet thoroughly removes dirt, excess oil and impurities to reveal smoother, clearer skin. Leaves skin feeling soft and comfortable. Oil-free.

Gently helps remove the stress of pollution so skin looks younger, longer. Effectively helps lift pollution to purify and refresh skin.",,4.7,,44 Reviews,https://www.ulta.com/travel-size-foaming-sonic-facial-soap?productId=xlsImpprod14521341,3
9,cleanser,face wash,normal,Perricone MD,Hypoallergenic CBD Sensitive Skin Therapy Gentle Cleanser,Size 6.0 oz|,"Price
$35.00","Formulated with 99% pure Cannabidiol (CBD) isolate, Perricone MD's Hypoallergenic CBD Sensitive Skin Therapy Gentle Cleanser is an ultra-gentle, low-foaming cleanser that is clinically proven to effectively remove dirt & oil without stripping skin of natural oils. Leaves skin looking & feeling thoroughly cleansed & moisturized without drying or irritating sensitive skin.

Free of 26 known allergens, as well as fragrance, glutens, sulfates, silicones, parabens, formaldehyde, butylene & propylene-glycol, PEG, phthalates, BHA & BHT.","Water/Aqua/Eau, Glycerin, Cocamidopropyl Betaine, Acrylates Copolymer, Sodium Lauroyl Sarcosinate, Polyglyceryl-4 Caprylate/Caprate, Polyglyceryl-4 Laurate/Sebacate, Disteareth-75 IPDI,Glyceryl Caprylate, Cannabidoil, Cannabis SativaSeed Oil, Sodium Hydroxide, Caprylhydroxamic Acid, Styrene. Acrylates Copolymer, Sodium Gluconate, Triethyl Citrate, Polyquaternium.",4.6,,364 Reviews,https://www.ulta.com/hypoallergenic-cbd-sensitive-skin-therapy-gentle-cleanser?productId=pimprod2017616,3
