,use_category,use_subcategory,skintype,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,cleanser,face wash,normal,Philosophy,The Microdelivery Exfoliating Facial Wash,8.0 oz,"Price
$29.00","Daily exfoliation is vital to healthy-looking skin. Award-winning microdelivery ""30-second cleansing mini peel"" with micro-exfoliating beads gently buffs away dead skin and impurities to reveal a smoother, brighter, more even complexion as it cleanses and lightly tones. Perfect for all skin types, including aging and sensitive skin.","Aqua/Water/Eau, Solum Diatomeae/Diatomaceous Earth/Terre De Diatomees, Sodium Cocoyl Apple Amino Acids, Glycerin,Acrylates/Steareth-20 Methacrylate Copolymer, Acrylates Copolymer, Decyl Glucoside, Disodium Cocoamphodiacetate, Phenoxyethanol, Lauryl Glucoside, Lithium Magnesium Sodium Silicate, Polysorbate 20, Hexylene Glycol, Sodium Hydroxide, Citrus Aurantium Dulcis (Orange) Peel Extract, Limonene, Decylene Glycol, Ethylhexylglycerin, Panthenol, Tetrasodium Edta, 1,2-Hexanediol, Ascorbyl Glucoside, Borago Officinalis Seed Oil, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Tocotrienols, Triolein, Trilinolein, Magnesium Nitrate, Methylisothiazolinone, Methylchloroisothiazolinone, Magnesium Chloride.",4.5,,812 Reviews,https://www.ulta.com/microdelivery-exfoliating-facial-wash?productId=xlsImpprod15641100,1
1,cleanser,face wash,normal,Murad,AHA/BHA Exfoliating Cleanser,Size 6.75 oz|,"Price
$40.00","Featuring limited-edition Hydration packaging to celebrate Murad's 30-year anniversary as the skincare hydration experts.

Murad's AHA/BHA Exfoliating Cleanser is an intensive cleanser with a trio of exfoliating acids and Jojoba skin-polishing beads to reveal younger-looking complexion.

Gently exfoliates and polishes away dullness and excess cellular debris.
Three exfoliating agents - salicylic acid, lactic acid, and glycolic acid reveal younger looking skin by loosening dulling buildup on skin's surface.
Jojoba beads polish away debris, dryness, and roughness while sodium PCA attracts water to the skin's surface to help it retain moisture and elasticity needed to function as a strong, healthy barrier.
Formulated without parabens, sulfates or phthalates.

Murad is cruelty-free: always tested on people, never on animals. Dermatologist developed.","Water (Aqua), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Jojoba Esters, Acrylates Copolymer, Glycol Stearate, Butylene Glycol, Sodium PCA, Dipotassium Glycyrrhizate, Sodium Ascorbyl Phosphate, Glycolic Acid, Lactic Acid, Salicylic Acid, Polyquaternium-4, Sodium Hydroxide, Sodium Chloride, Citric Acid, Disodium EDTA, Phenoxyethanol, Methylparaben, Propylparaben.",4.6,,268 Reviews,https://www.ulta.com/ahabha-exfoliating-cleanser?productId=prod2082342,1
2,cleanser,face wash,normal,CeraVe,Foaming Facial Cleanser,12.0 oz,"Price
$14.99","CeraVe's Foaming Facial Cleanser has a unique formula with three essential ceramides that cleanses and removes oil without disrupting the protective skin barrier. Gentle foaming action refreshes and cleanses skin, as well as removes excess oils.

Key Ingredients:
Ceramides 1,3 and 6-II - help restore protective skin barrier
Hyaluronic Acid - attracts moisture
Niacinamide - helps calm skin
Benefits:
Fragrance-free
Non-comedogenic
Non-drying
Non-irritating
Recommended for normal to oily skin types
#1 Dermatologist Recommended Skincare Brand","Purified Water, Glycerin, Behentrimonium Methosulfate and Cetearyl Alcohol, Ceramide 3, Ceramide 6-II, Ceramide 1, Hyaluronic Acid, Cholesterol, Polyoxyl 40 Stearate, Glyceryl Monostearate, Stearyl Alcohol, Polysorbate 20, Potassium Phosphate, Dipotassium Phosphate, Sodium Lauroyl Lactylate, Cetyl Alcohol, Disodium EDTA, Phytosphingosine, Methylparaben, Propylparaben, Carbomer, Xanthan Gum.",4.4,,574 Reviews,https://www.ulta.com/foaming-facial-cleanser?productId=xlsImpprod5140065,1
3,cleanser,face wash,normal,CeraVe,Hydrating Facial Cleanser,8.0 oz,"Price
$13.49","Developed with dermatologists, the CeraVe Hydrating Facial Cleanser is a unique formula that hydrates while it cleanses.

Key Ingredients:
Ceramides 1, 3 and 6-II - hydrate and help restore the protective skin barrier
Hyaluronic Acid - helps retain skin's moisture
Benefits:
Fragrance-free
Non-comedogenic
Non-drying
Gentle, non-irritating
Recommended for normal to dry skin types
Accepted by the National Eczema Association
#1 Dermatologist Recommended Skincare Brand","Purified Water, Glycerin, Behentrimonium Methosulfate and Cetearyl Alcohol, Ceramide 3, Ceramide 6-11, Ceramide 1, Hyaluronic Acid, Cholesterol, Polyoxyl 40 Stearate, Glyceryl Monostearate, Stearyl Alcohol, Polysorbate 20, Potassium Phosphate, Dipotassium Phosphate, Sodium Lauroyl Lactylate, Cetyl Alcohol, Disodium EDTA, Phytosphingosine, Methylparaben, Propylparaben, Carbomer, Xanthan Gum.",4.2,,701 Reviews,https://www.ulta.com/hydrating-facial-cleanser?productId=xlsImpprod4190255,1
4,cleanser,face wash,normal,CeraVe,Renewing SA Cleanser,Size 8.0 oz|,"Price
$13.99","Developed with dermatologists, CeraVe Renewing SA Cleanser exfoliates and detoxifies to remove dirt and oil while softening and smoothing skin. Unlike some exfoliating cleansers, this CeraVe face cleanser contains no harsh beads or grains and is gentle on skin.

Key Ingredients:
Ceramides 1, 3 and 6-II - help restore protective skin barrier
Salicylic Acid - exfoliates, softens and smooths skin
Benefits:
Non-comedogenic
Fragrance-free
Gentle, non-irritating formula
Recommended for normal skin types
#1 Dermatologist Recommended Skincare Brand","Purified Water, Cocamidopropyl Hydroxysultaine, Glycerin, Sodium Lauroyl Sarcosinate, Niacinamide, Gluconolactone, Sodium Methylcocoyl Taurate, PEG-150 Pentaerythrityl Tetrastearate, Salicylic Acid, Ceramide 6-11, Ceramide 3, Ceramide 1, Hyaluronic Acid, Cholesterol Sodium Benzoate, Zea Mays (Corn) Oil, Disodium EDTA, Sodium Lauroyl Lactylate, Cholecalciferol, Phytosphingosine, Xanthan Gum, Carbomer, Sodium Hydroxide.",3.9,,304 Reviews,https://www.ulta.com/renewing-sa-cleanser?productId=xlsImpprod13531041,1
5,cleanser,face wash,normal,Peter Thomas Roth,Anti-Aging Cleansing Gel,Size 8.5 oz|,"Price
$39.00","Oil-free, anti-wrinkle technology helps to clarify and brighten with glycolic acid, salicylic acid, extracts of peach, white oak bark, lemon, lime, linden, grapefruit, and arginine. An advanced deep pore resurfacing action supports natural cell turnover to help diminish the appearance of fine lines, wrinkles, and other signs of aging.

It helps to effectively detoxify the pores, dissolve makeup, emulsify oil, and improve skin texture as it gently sweeps away dead skin cells and impurities that can make the complexion appear dull. Ideal for all skin types except sensitive skin, including dry, sun damaged, normal, combination, oily, and acne prone skin, this gel produces an ultraclean, refined, and revitalized complexion.","Water/Aqua/Eau, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Lauryl Glucoside, Propylene Glycol, Salicylic Acid, Glycolic Acid, Quercus Alba Bark Extract, Citrus Grandis (Grapefruit) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Citrus Aurantifolia (Lime) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Arginine, Tilia Cordata Flower Extract, Allantoin, BHT, Panthenol, Butylene Glycol, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol, Amyl Cinnamal, Linalool, Fragrance/Parfum, Red 40 (CI 16035), Yellow 5 (CI 19140).",4.5,,330 Reviews,https://www.ulta.com/anti-aging-cleansing-gel?productId=xlsImpprod540342,1
6,cleanser,face wash,normal,Murad,Essential-C Cleanser,6.75 oz,"Price
$40.00","Murad Essential-C Cleanser is a patented antioxidant-rich cleanser that rehydrates environmentally damaged skin.
Vitamin-packed formula removes environmental impurities, rehydrates, and awakens the senses with a burst of citrus.
Phospholipids and Sodium PCA attract and bind moisture to dry skin.
A combination of vitamins A, C, and E defend skin from free-radical damage.
Allantoin and panthenol work to soothe environmentally-stressed skin.
Formulated without parabens or phthalates.

Murad is cruelty-free: always tested on
people, never on animals. Dermatologist developed.","Water (Aqua), Cocamidopropyl Betaine, Disodium Laureth Sulfosuccinate, Glycerin, Butylene Glycol, Aminomethyl Propanol, Polysorbate 20, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Panthenol, Phospholipids, Tocopheryl Acetate, Retinyl Palmitate, Ascorbyl Palmitate, Ascorbic Acid, Chitosan, Rice Amino Acids, Zinc Aspartate, Allantoin, Sodium PCA, Lactose, Cellulose, Hydroxypropyl Methylcellulose, Propyl Gallate, Disodium EDTA, Phenoxyethanol, Caprylyl Glycol, Chlorphenesin, Limonene, Linalool, Citrus Aurantium Dulcis (Orange) Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Ocimum Basilicum (Basil) Oil, Citrus Grandis (Grapefruit) Peel Oil, Ferula Galbaniflua (Galbanum) Resin Oil, Fragrance (Parfum), Iron Oxides (CI 77492).",4.6,,272 Reviews,https://www.ulta.com/essential-c-cleanser?productId=prod2082350,1
7,cleanser,face wash,normal,Dermalogica,Special Cleansing Gel,16.9 oz,"Price
$62.00","Dermalogica's Special Cleansing Gel is a soap-free, naturally-foaming facial cleanser that gently, but thoroughly rinses away daily toxins and debris to leave skin feeling soft and smooth. It's lightweight and mild enough to use every day, and also features calming balm mint and lavender extracts to soothe the skin and clear pores without disturbing the skin's natural moisture balance.

Skin Concerns:
Pores
Dryness
Oiliness

Key Ingredients:
Lavender: Soothes and reduces redness and acne scarring.
Quillaja Saponaria Bark Extract: Naturally foams and cleanses.
Lemon Balm: Soothes and cleanses the skin.
Key Callouts

This product is:
cruelty-free
vegan
paraben-free
sulfate-free
phthalate-free
synthetic fragrance-free
has recyclable packaging

Have questions about your skin? Click here to get a professional skin analysis with Dermalogica's AI driven technology, Face Mapping.

We recommend that first-time Dermalogica users visit an authorized skin treatment professional for a client consultation in an ULTA store.

View Dermalogica skin treatments at all ULTA locations. Book your appointment today.","Water/Aqua/Eau, Disodium Laureth Sulfosuccinate, Sodium Lauroyl Sarcosinate, Quillaja Saponaria Bark Extract Lavandula Angustifolia (Lavender) Oil, Melissa Officinalis Leaf Extract, Citrus Limon (Lemon) Peel Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Cymbopogon Winterianus Herb Oil, Glycerin, Cocamidopropyl Betaine, Coco-Betaine, Hydroxyethylcellulose, Sodium Cocoyl Isethionate, Capryloyl Glycine, Sodium Lauryl Sulfoacetate, Methylpropanediol, Ethylhexylglycerin, Caprylhydroxamic Acid, PPG-5-Ceteth-20, Sodium Hydroxide, Disodium EDTA.",4.6,,1076 Reviews,https://www.ulta.com/special-cleansing-gel?productId=VP12697,1
8,cleanser,face wash,normal,The Ordinary,Squalane Cleanser,Size 1.0 oz|,"Price
$7.90","The Squalane Cleanser from The Ordinary is a lightweight balm that melts into an oil-like consistency to remove makeup and facial impurities. The esters in the formula help to dissolve and remove makeup, and facial impurities, detaching them from the skin's surface when rinsed with water

Benefits:
Dissolves and removes makeup and facial impurities while respecting the skin¿s moisture barrier
PH 5.50 - 6.50
Cruelty-free & Vegan
Does not contain alcohol, gluten, nuts, oil, silicone, parabens, sulfates","Squalane, Aqua (Water), Coco-caprylate/caprate, Glycerin, Sucrose Stearate, Ethyl Macadamiate, Caprylic/capric Triglyceride, Sucrose Laurate, Hydrogenated Starch Hydrolysate, Sucrose Dilaurate, Sucrose Trilaurate, Polyacrylate Crosspolymer-6, Isoceteth-20, Sodium Polyacrylate, Tocopherol, Hydroxymethoxyphenyl Decanone, Trisodium Ethylenediamine Disuccinate, Malic Acid, Ethylhexylglycerin, Chlorphenesin.",4.1,,332 Reviews,https://www.ulta.com/squalane-cleanser?productId=pimprod2007098,1
9,cleanser,face wash,normal,Philosophy,Purity Made Simple One-Step Facial Cleanser,8.0 oz,"Price
$25.00","Meet the #1 facial cleanser in America*, now formulated without parabens. Philosophy's Purity Made Simple One-Step Facial Cleanser with meadowfoam seed oil is an award-winning cleanser that melts away dirt, oil and makeup. It tones and lightly hydrates in one simple step for skin that feels perfectly cleaned and comfortably balanced. Formulated for normal-to-dry skin types and gentle enough for the sensitive eye area, it deep cleans pores while the meadowfoam seed oil extract helps condition skin.

*Source: the NPD Group/ U.S. Prestige Beauty total measured market, skincare product layer dollar sales, annual 2017-2019

Clinical results:
91% reported their skin looked and felt refreshed after one use*
87% reported their skin immediately looked and felt like a clean canvas*
Immediately removes skin-damaging pollutants**
Clinically proven to prevent skin dehydration***

*Based on 1-week self-assessment study with 101 women aged 18 - 35, used twice a day
**Based on a clinical study with 20 women aged 19-60; pollution is characterized by the residual amount of micro-particles of carbon and dust
*** Based on a clinical hydration measurement on 23 women aged 18-35, as compared to washing with water","Aqua/Water/Eau, Sodium Lauroamphoacetate, Sodium Trideceth Sulfate, Limnanthes Alba (Meadowfoam) Seed Oil, Coco-Glucoside, Coconut Alcohol, Peg-120 Methyl Glucose Dioleate, Glycerin, Phenoxyethanol, Isopropyl Alcohol, Carbomer, Polysorbate 20, Chlorphenesin, Citric Acid, Disodium Phosphate, Aniba Rosaeodora (Rosewood) Wood Oil, Linalool, Ethylhexylglycerin, Xanthan Gum, Sodium Citrate, Bulnesia Sarmientoi Wood Oil, Pelargonium Graveolens Flower Oil, Sodium Hydroxide, Amyris Balsamifera Bark Oil, Cymbopogon Martini Oil, Rosa Damascena Flower Oil, Tocopherol, Daucus Carota Sativa (Carrot) Seed Oil, Mimosa Tenuiflora Bark Extract, Ormenis Multicaulis Oil, Piper Nigrum (Pepper) Fruit Extract, Salvia Sclarea (Clary) Oil, Santalum Album (Sandalwood) Oil, Fd&Amp;C Yellow No. 5 (Ci 19140).",,,8599 Reviews,https://www.ulta.com/purity-made-simple-one-step-facial-cleanser?productId=pimprod2017770,1
