use_category,use_subcategory,skintype,brand_generic,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
toothpaste,toothpaste,all,non_generic,Crest,Sensitivity Whitening Plus Scope Toothpaste Minty Fresh,6,4.99,,"Water, Hydrated Silica, Glycerin, Sorbitol, Trisodium Phosphate, Sodium Lauryl Sulfate, Flavor, Cellulose Gum, Alcohol, Xanthan Gum, Sodium Saccharin, Polysorbate 80, Sodium Benzoate, Cetylpyridinium Chloride, Benzoic Acid, Titanium Dioxide, Blue 1",4.7,,117,https://www.walgreens.com/store/c/crest-sensitivity-whitening-plus-scope-toothpaste-minty-fresh/ID=prod6399257-product,
toothpaste,toothpaste,all,non_generic,Dr. Bronner's,Peppermint Toothpaste Peppermint,5,3.99,,"Glycerin, Aloe Barbadensis Leaf Juice, Hydrated Silica, Calcium Carbonate, Xanthan Gum, Sodium Bicarbonate (Baking Soda), Potassium Cocoate, Mentha Piperita (Peppermint) Oil, Organic Mentha Arvensis (Menthol) Crystals, Organic Cocos Nucifera (Coconut) Flour, Cocos Nucifera (Coconut) Oil, Tocopherol, Citric Acid, Stevia Rebaudiana Leaf/Stem Extract",4.8,,23,https://www.walgreens.com/store/c/dr.-bronner's-peppermint-toothpaste-peppermint/ID=prod6376394-product,
toothpaste,toothpaste,all,non_generic,Biotene,Gentle Mint Fluoride Toothpaste Mint,4.3,6.29,,"Water, Sorbitol, Hydrated Silica, Glycerin, Calcium Pyrophosphate, Xylitol, Silica, Hydroxyethylcellulose, Isoceteth-20, Cellulose Gum, Flavor, Sodium Benzoate, Calcium Lactate",3.9,,126,https://www.walgreens.com/store/c/biotene-gentle-mint-fluoride-toothpaste-mint/ID=prod6187645-product,
toothpaste,toothpaste,all,non_generic,Arm & Hammer Advance White,"Extreme Whitening Control with Baking Soda & Peroxide, Stain Defense Mint",6,3.09,,"Sodium Bicarbonate, PEG-8, Tetrasodium Pyrophosphate, PEG, PPG 116, 66 Copolymer, Sodium Carbonate Peroxide, Silica, Sodium Saccharin, Flavor, Water, Sodium Lauroyl Sarcosinate, Sodium Lauryl Sulfate",4.5,,141,"https://www.walgreens.com/store/c/arm-%26-hammer-advance-white-extreme-whitening-control-with-baking-soda-%26-peroxide,-stain-defense-mint/ID=prod6029039-product",
toothpaste,toothpaste,all,non_generic,Tom's of Maine,Antiplaque & Whitening Toothpaste Peppermint,5.5,4.69,,"Calcium Carbonate, Glycerin, Water, Xylitol, Hydrated Silica, Peppermint Oil, Sodium Lauryl Sulfate, Zinc Citrate, Carrageenan, Sodium Bicarbonate",4.7,,40,https://www.walgreens.com/store/c/tom's-of-maine-antiplaque-%26-whitening-toothpaste-peppermint/ID=prod6066047-product,
toothpaste,toothpaste,all,non_generic,Colgate MaxFresh,Anticavity Fluoride Toothpaste with Whitening Breath Strips Cool Mint,6,3.49,,"Sorbitol, Water, Hydrated Silica, PEG-12, Sodium Lauryl Sulfate, Flavor, Cellulose Gum, Tetrasodium Pyrophosphate, Cocamidopropyl Betaine, Sodium Saccharin, Methylcellulose, Titanium Dioxide, Blue No.1",4.7,,71,https://www.walgreens.com/store/c/colgate-maxfresh-anticavity-fluoride-toothpaste-with-whitening-breath-strips-cool-mint/ID=prod1127127-product,
