,use_category,use_subcategory,skintype,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,moisturizer,face moisturizer,dry,Pacifica,Travel Size Coconut Probiotic Water Rehab Cream,Size 1.0 oz|Item 2543366,"Price
$10.00","Party then rehab now. Even your skin can suffer a hangover due to stress, late nights studying (or other things), pollution and lack of sleep. Take back control of your recovery with this deeply hydrating, oil-free Pacifica Travel Size Coconut Probiotic Water Rehab Cream - infused with vegan probiotics, plant extracts and coconut water.","Aqua (Purified), Aloe Barbadensis Leaf Juice, Caprylic/Capric Triglyceride, Glyceryl Stearate, Octyl Palmitate, Glycerin, Stearic Acid, Cetyl Alcohol, Stearyl Alcohol, Dipalmitoyl Hydroxyproline (Plant Amino Acid Complex), Allantoin, Hyaluronic Acid, Lecithin, Cocos Nucifera (Coconut) Water, Lactococcus Ferment Lysate, Mixed Tocopherols (Vitamin E), Phenoxyethanol, Ethylhexylglycerin, Parfum (Natural).",4.7,98%,47 Reviews,https://www.ulta.com/travel-size-coconut-probiotic-water-rehab-cream?productId=pimprod2010144,4
1,moisturizer,face moisturizer,dry,YourGoodSkin,Brightening Exfoliating Wash,Size 4.2 oz|Item 2530465,"Price
$8.49","This Brightening Exfoliating Wash from YourGoodSkin gently polishes away excess oil, daily impurities and evens skin for skin that looks healthy and feels instantly smooth.

For all skin types
Polishes away excess oil and daily impurities
Evens skin tone
Formulated without parabens and oil-free","Water/Aqua, Glycerin, Cocamidopropyl Betaine, Lauryl Glucoside, Disodium Laureth Sulfosuccinate, Sodium Cocoamphoacetate, Sodium Chloride, Polyacrylate Crosspolymer-6, Coco-Glucoside, Hydrated Silica, Glyceryl Oleate, Citric Acid, Phenoxyethanol, Betaine, Xanthan Gum, Panthenol, Sodium Benzoate, Ascorbyl Glucoside, Tetrasodium EDTA, Bisabolol, T-Butyl Alcohol, Potassium Hydroxide, Camellia Sinensis Leaf Extract, Lecithin, Ascorbyl Palmitate, Tocopherol, Hydrogenated Palm Glycerides Citrate.",4.7,100%,9 Reviews,https://www.ulta.com/brightening-exfoliating-wash?productId=xlsImpprod18751401,4
2,moisturizer,face moisturizer,dry,Vichy,Aqualia Thermal Crème,Size 0.50 oz|Item 2532671,"Price
$8.50","Vichy's Aqualia Thermal Rich Cream is the natural re-hydrating solution for your skin, in a rich, refreshing face moisturizer. It recharges dry and dehydrated skin with 48-hour dynamic hydration and smoothed fine lines. When skin is dry or dehydrated due to stress, lack of sleep and environmental exposure, it is important to choose products that provide long-lasting hydration while minimizing loss of water. This face moisturizer is tested and can withstand whatever the extreme condition - weather, stress, and other daily aggressors.

Key Ingredients:
Vichy Mineralizing Thermal Water - sourced from the French volcanoes, it charges itself with 15 essential minerals to help strengthen the skin's moisture barrier to help protect skin against external elements
Plant Sugar - delivers high performance hydration by strengthening the skin's moisture barrier to help prevent water loss, leaving skin radiant and plumped with moisture
Hyaluronic Acid - capable of holding over one thousand times its weight in water and helps your skin retain moisture

Benefits:
Velvety-soft, rich face cream evenly distributes moisture
Locks in hydration & smoothes fine lines

Brand Story: Founded in France in 1931, Vichy's formulas combine clinically-proven ingredients with mineral-rich volcanic water to deliver real results to women of all ages. Today, Vichy is the #1 Anti-Aging Brand in European pharmacies.","Aqua/Water, Glycerin, Dimethicone, Caprylic/Capric Triglyceride, Pentaerythrityl Tetraisostearate, Synthetic Wax, Butyrospermum Parkii Butter/Shea Butter, Alcohol Denat., Hydrogenated Polyisobutene, Ammonium Polyacryldimethyltauramide / Ammonium Polyacryloyldimethyl Taurate, Pentylene Glycol, Glyceryl Stearate, Behenyl Alcohol, Stearyl Dimethicone, Glyceryl Stearate Citrate, Sodium Hyaluronate, Phenoxyethanol, Chondrus Crispus (Carrageenan), Disodium Ethylene Dicocamide PEG-15 Disulfate, Disodium EDTA, Caprylyl Glycol, Citric Acid, Biosaccharide Gum-1, Parfum /Fragrance Code FIL : B164017/2.",3.8,67%,11 Reviews,https://www.ulta.com/aqualia-thermal-creme?productId=xlsImpprod19011123,4
3,moisturizer,face moisturizer,dry,Andalou Naturals,Quenching Coconut Water Visibly Firm Day Cream,Size 1.7 oz|Item 2536526,"Price
$24.99","This Quenching Coconut Water Visibly Firm Day Cream from Andalou Naturals instantly hydrates, fortifies, and balances improving the appearance of tone and texture with skin-friendly enzymes, vitamin C, and coconut water electrolytes for a healthy, smooth complexion. AquaCacteen, derived from prickly pear cactus, nourishes and soothes as water-binding nutrients provide lasting hydration for a lifted, firmer appearance and renewed vitality. ECOCERT certified. Formulated with fruit stem cell science.

Benefits:
100% vegan ingredients
Cruelty-free
Non-GMO Project Verified
Formulated without phthalates, gluten, silicones, sulfates, or parabens","Aloe Barbadensis Leaf Juice*, Purified Water (aqua), Cocos Nucifera (coconut) Milk*¿, Vegetable Glycerin, Dicaprylyl Carbonate, Glyceryl Stearate Citrate, Cetyl Alcohol, Tocopherol, Opuntia Ficus-indica (prickly Pear) Stem Extract*, Fruit Stem Cells (malus Domestica, Solar Vitis) And Bioactive 8 Berry Complex*, Stearic Acid, Skin Firming Complex: [cichorium Intybus (chicory) Root Oligosaccharides, Caesalpinia Spinosa (tara Tree) Gum, Coffea Arabica (green Coffee) Extract*], Cocos Nucifera (coconut) Oil*¿, Simmondsia Chinensis (jojoba) Seed Oil*, Opuntia Ficus-indica (prickly Pear) Seed Oil*, Allantoin, Magnesium Ascorbyl Phosphate (vitamin C), Panthenol, Myristyl Myristate, Olive Squalane, Camellia Sinensis (white Tea) Leaf Extract*¿, Aspalathus Linearis (rooibos) Extract*¿, Phenethyl Alcohol, Ethylhexylglycerin, Coconut Isolates, Citrus Aurantifolia (lime) Peel Oil*, Mentha Spicata (spearmint) Leaf Oil*.

*certified Organic Ingredients ¿fair Trade Ingredients",5,100%,2 Reviews,https://www.ulta.com/quenching-coconut-water-visibly-firm-day-cream?productId=xlsImpprod18881023,4
4,moisturizer,face moisturizer,dry,L'Occitane,Aqua Réotier Ultra Thirst-Quenching Gel,Size 1.7 oz|Item 2567650,"Price
$30.00","L'OCCITANE Aqua Réotier Ultra Thirst-Quenching Gel is enriched with Réautier water and hyaluronic acid. This thirst-quenching, ultra-fresh gel acts like a magnet to recharge skin with water, leaving it glowing with moisture all day long. Thousands of micro-bubbles release freshness instantly, energizing and revitalizing the skin. Wrapped in a light, non-oily veil, skin is radiant and feels plumper.","Aqua/Water, Propanediol, Glycerin, Sodium Hyaluronate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Xylitylglucoside, Caprylyl Glycol, Anhydroxylitol, Ppg-26-Buteth-26, Xylitol, Peg-40 Hydrogenated Castor Oil, Sodium Polyacrylate Starch, Sodium Hydroxide, Sodium Benzoate, Citric Acid, Parfum/Fragrance, Linalool, Hexyl Cinnamal, Citronellol, Citral, Geraniol, Ci 42090/Blue 1.",4.4,88%,105 Reviews,https://www.ulta.com/aqua-reotier-ultra-thirst-quenching-gel?productId=pimprod2016160,4
5,moisturizer,face moisturizer,dry,ARCONA,Peptide Hydrating Complex,Size 1.17 oz|Item 2549595,"Price
$77.00","ARCONA Peptide Hydrating Complex is a daily hydrating complex rich in firming Peptides and skin strengthening Flavonoids. Protect and nourish depleted and stressed skin with Glycoaminoglycans, enhancing firmness and moisture retention. Support repair and deeply hydrate with Beta Fructan, Lecithin, and Beta Glucosamine. Contains two highly effective skin remodeling peptide groups, leaving skin resilient, smooth and regenerated.","Aqua (Water), Glycerin, Glycosaminoglycans, Caprylic/Capric Triglyceride, Squalane, Butyrospermum Parkii (Shea Butter), Coco-Caprylate/Caprate, Glycine Soja (Soybean) Protein, Rosa Canina (Rose Hip) Fruit Oil, Olea Europaea (Olive) Fruit Oil, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Glyceryl Stearate, Cetearyl Glucoside, Menthyl Lactate (L), Prunus Amygdalus Dulcis (Sweet Almond) Oil, Sodium Hyaluronate (L), Carbomer, Carnosine (L), Vaccinium Myrtillus (Bilberry) Fruit Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Vaccinium Macrocarpon (Cranberry) Fruit Extract, Citrus Grandis (Grapefruit) Peel Oil, Fructooligosaccharides (D-beta), Glucosamine HCI (D), Stearic Acid, Tocopheryl Acetate (D-alpha), Aloe Barbadensis Leaf Juice Powder, Retinol, Allantoin, Lecithin, Cetyl Alcohol, Chamomilla Recutita (Matricaria) Flower Extract, Cetearyl Alcohol, Daucus Carota Sativa (Carrot) Root Extract, Althaea Officinalis (Marshmallow) Root Extract, Xanthan Gum , Butylene Glycol, Polysorbate 20, Alcohol, Benzyl Alcohol.",4.3,,3 Reviews,https://www.ulta.com/peptide-hydrating-complex?productId=pimprod2007138,4
6,moisturizer,face moisturizer,dry,Erborian,Yuza Sorbet Day Cream,Size 1.7 oz|Item 2571594,"Price
$48.00","Packed with Korean plant extracts known for their skincare benefits, Erborian's Yuza Lightweight Day Cream acts like a caring, comforting second skin that helps to protect against external aggressors. Its irresistibly soft texture contains microcapsules with antioxidant properties to help fight the first signs of aging caused by environmental factors. With a natural fragrance of energizing citrus, its perfect to use in the morning to make you feel fresh and ready to take on the day.","Aqua/Water, Cyclomethicone, Glycerin, Nylon-12, Dimethicone, Dipropylene Glycol, Sodium Citrate, Butylene Glycol, Peg/Ppg-18/18 Dimethicone, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Polysorbate 20, Citrus Junos Fruit Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Centella Asiatica Extract, Scutellaria Baicalensis Root Extract, Polygonum Cuspidatum Root Extract, Camellia Sinensis Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Prunus Mume Fruit Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Mel/Honey Extract, Zea Mays (Corn) Oil, Sesamum Indicum (Sesame) Seed Oil, Olus Oil/Vegetable Oil, Glycine Soja (Soybean) Oil, Tocopherol, Ethylhexylglycerin, Mannitol, Tocopheryl Acetate, Cellulose, Hydroxypropyl Methylcellulose, Phenoxyethanol, Dimethicone/Vinyl Dimethicone.",5,100%,1 Review,https://www.ulta.com/yuza-sorbet-day-cream?productId=pimprod2017860,4
7,moisturizer,face moisturizer,dry,Banila Co,Miss Flower & Mr. Honey Cream,Size 2.3 oz|Item 2571240,"Price
$42.00","The Miss Flower & Mr. Honey Cream is an extremely nourishing cream that provides deep moisture and has rejuvenating properties using all of the benefits of honey without the sticky texture. Banila Co's Intense Nourishing system includes 6 types of premium honey blend to replenish, protect and lock in moisture for a healthy, supple complexion. Used day or night, this luxurious cream glides on smoothly to give skin a vitality and will support & strengthen the skin's barrier.

Key Ingredients:
Premium Honey Blend - features royal jelly, honey butter, beeswax, honey & propolis
Yellow Glower Complex - forms protective layer
Nutrition Complex - locks in moisture and invigorates skin
Black Plullans - refines skin texture","Honey Extract, Aureobasidium Pullulans Ferment, Dipropylene Glycol, Dimethicone, Cyclopentasiloxane, Butylene Glycol, Glycerin, Cetearyl Alcohol, PCA Dimethicone, Niacinamide, Glycereth-26, Petrolatum, Trisiloxane, Glyceryl Stearate SE, Pentylene Glycol, Dimethiconol, Phenoxyethanol, Glyceryl Stearate, PEG-100 Stearate, Ammonium Acryloyldimethyltaurate/VPCopolymer, PEG-150 Distearate, Water, Caprylyl Glycol, Raffinose, Xanthan Gum, Caprylic/Capric Triglyceride, Dipotassium Glycyrrhizate, Adenosine, Hydrogenated Lecithin, Melia Azadirachta Flower Extract, Disodium EDTA, Fragrance (Parfum), Melia Azadirachta Leaf Extract, Ceramide NP, Curcuma Longa (Turmeric) Root Extract, Ocimum Sanctum Leaf Extract, Arginine, Corallina Officinalis Extract, Chrysanthellum Indicum Extract, Butyrospermum Parkii (Shea) Butter, Argania Spinosa Kernel Oil, Olea Europaea (Olive) Fruit Oil, Plukenetia Volubilis Seed Oil, Propylene Glycol, Camellia Japonica Seed Oil, Beeswax, Chamomilla Recutita (Matricaria) Flower Extract, Royal Jelly Extract, Propolis Extract, Sodium Starch Octenylsuccinate, Calcium Pantothenate, Maltodextrin, Sodium Ascorbyl Phosphate, Pyridoxine HCI, Tocopheryl Acetate, Silica, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Limnanthes Alba (Meadowfoam) Seed Oil, Oenothera Biennis (Evening Primrose) Oil, Calendula Officinalis Flower Extract.",4.6,95%,49 Reviews,https://www.ulta.com/miss-flower-mr-honey-cream?productId=pimprod2018581,4
8,moisturizer,face moisturizer,dry,Differin,Soothing Moisturizer,Size 4.0 oz|Item 2509587,"Price
$8.99","Differin Soothing Moisturizer is a lightweight moisturizer for everyday use. This gentle, pH balanced  formula hydrates and helps balance moisture in your skin to soothe and relieve dryness instantly. Gently apply after the application of Differin Acne Treatment.

Benefits:
Hypoallergenic
Ideal for all skin types
Non-comedogenic, non-medicated
Formulated without parabens or fragrances","Water, Glycerin, Hydrogenated Polyisobutene, Ceteareth-20, Cetearyl Alcohol, Persea Gratissima (Avocado) Oil, Tocopheryl Acetate (Vitamin E), Dimethicone, Panthenol (Vitamin B5), Citric Acid, Sodium Levulinate, Caprylyl Glycol, Benzyl Alcohol, Stearoxytrimethylsilane, Stearyl Alcohol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Anisate.",4,71%,7 Reviews,https://www.ulta.com/soothing-moisturizer?productId=xlsImpprod15791009,4
9,moisturizer,face moisturizer,dry,Cetaphil,Travel Size Moisturizing Lotion,Size 2.0 oz|Item 2533967,"Price
$3.49","Your skin needs the right kind of hydration. For softer, smoother, healthier skin, look to the gentle power of Cetaphil Travel Size Moisturizing Lotion.

Benefits:
Contains a blend of 6 moisturizers and skin essential vitamin E to provide long-lasting hydration for healthy-looking skin
Non-greasy, non-comedogenic formula is ideal for use on body and face
Fragrance-free and paraben-free
Non-irritating formula safe for sensitive and atopic skin
Dermatologist recommended","Water, Glycerin, Hydrogenated Polyisobutene, Ceteareth-20, Cetearyl Alcohol, Persea Gratissima (Avocado) Oil, Tocopheryl Acetate (Vitamin E), Dimethicone, Sodium Levulinate, Sodium Anisate,Caprylyl Glycol, Benzyl Alcohol, Panthenol (Vitamin B5), Stearoxytrimethylsilane, Stearyl Alcohol, Citric Acid, Acrylates/C10-30 Alkyl Acrylate Crosspolymer",3.4,63%,14 Reviews,https://www.ulta.com/travel-size-moisturizing-lotion?productId=pimprod2010151,4
