,use_category,use_subcategory,skintype,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,moisturizer,face moisturizer,dry,Kiehl's Since 1851,Powerful Wrinkle Reducing Cream SPF 30,Size 1.7 oz|Item 2536698,"Price
$60.00","Kiehl's Powerful Wrinkle Reducing Cream SPF 30 is a skin-fortifying anti-wrinkle facial moisturizer with SPF 30. Visibly reduce wrinkles and signs of aging while helping defend skin from harmful UV rays with this skin-fortifying cream with SPF 30. Formulated with Copper PCA and Calcium PCA, this moisturizer helps smooth and refine skin texture and firm skin. With broad-spectrum SPF 30, it also helps protect skin from UVA and UVB rays. This fortifying moisturizer is clinically-tested to improve skin elasticity by 20%. Reveal smoother, younger-looking skin!

*Skin elasticity significantly improved by 20% for SPF 30 cream after 4 weeks. Tested on 50 women aged 35 to 55.","Active: Avobenzone 3% Homosalate 2.70% Octisalate 5% Octocrylebe 7%. Inactive: Water, Glycerin, Cetearyl Alcohol, Isohexadecane, Glyceryl Stearate, Cyclohexasiloxane, Isononyl Isononanoate, Butyrospermum Parkii (Shea) Butter, PEG-100 Stearate, Ceteareth-20, Phenoxyethanol, Butylene Glycol, Ammonium Polyacryloyldimethyl Taurate, Caprylyl Glycol, Tocopherol, Chlorphenesin, Xanthan Continued On Backgum, Disodium Edta, P-Anisicacid, Calcium PCA, Adenosine,Copper PCA, Alteromonas Ferment Extract, Corallina Officinalis Extract, Citric Acid, Sodium Hydroxide.",4.5,90%,51 Reviews,https://www.ulta.com/powerful-wrinkle-reducing-cream-spf-30?productId=pimprod2002921,3
1,moisturizer,face moisturizer,dry,Bliss,Ex-Glow-Sion Moisturizer,Size 1.7 oz|Item 2524147,"Price
$22.00","Bliss Ex-Glow-Sion Moisturize - This velvety, skin-brightening cream with stabilized vitamin C takes skin from dry and lackluster to dewy and luminous in seconds.
Advanced Shea Butter nourishes to combat dryness and flaking; powerful botanicals help recharge and protect
Subtle iridescent sheen provides an instant, healthy glow
Hypoallergenic, dermatologist tested
Cruelty-free. Vegan. Blissfully Free From: Parabens, Phthalates, Sulfates, Sodium Lauryl Sulfate (SLS), Sodium Laureth Sulfate (SLES), DMDM Hydantoin, Urea, Petrolatum, Mineral Oil, DEA/TEA/MEA/ETA, Formaldehyde","Water (Aqua) (Eau), Cyclopentasiloxane, Caprylic/Capric Triglyceride, Glycerin, Butyrospermum Parkii (Shea) Butter, Cetearyl Alcohol, Squalane, Xylitylglucoside, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Mica, Anhydroxylitol, Cetearyl Glucoside, Caprylyl Methicone, Propanediol, Panthenol, Tocopherol, Tetrahexyldecyl Ascorbate, Pyrus Communis (Pear) Fruit Extract, Cucumis Sativus (Cucumber) Fruit Extract, Lavandula Angustifolia (Lavender) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Camellia Sinensis Leaf Extract, Helianthus Annus (Sunflower) Seed Oil, Glycine Soja (Soybean) Oil, Lavandula Angustifolia (Lavender) Oil, Sodium Phytate, Dimethicone/Vinyl Dimethicone Crosspolymer, Xylitol, Polysorbate 60, Glyceryl Stearate, Sorbitan Isostearate, Cetyl Alcohol, Stearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, PEG-100 Stearate, Polyglyceryl-4 Laurate Succinate, Triethoxycaprylylsilane, Isohexadecane, Phenoxyethanol, Ethylhexylglycerin, Citric Acid, Linalool, Titanium Dioxide (CI 77891).
Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",4.1,71%,116 Reviews,https://www.ulta.com/ex-glow-sion-moisturizer?productId=xlsImpprod17921134,3
2,moisturizer,face moisturizer,dry,Clinique,Smart Broad Spectrum SPF 15 Custom-Repair Moisturizer For Very Dry Skin,Size 1.7 oz|Item 2294462,"Price
$56.00","Clinique's Smart Broad Spectrum SPF 15 Custom-Repair Moisturizer For Very Dry Skin helps visibly smooth lines and wrinkles, brighten and strengthen skin's moisture barrier.

Skin Types: I, II, III

Who It's For: Dry, Dry Combination and Combination Oily skin types.

What It Is:
Clinique's smart daytime moisturizer targets all major signs of aging.
Protects with SPF.

What It Does:
De-aging, oil-free formula with Clinique Smart hydration technology helps skin attract and retain moisture.
Visibly improves the appearance of fine lines and wrinkles, and brightens for a fresh, firm, radiant look.
Delivers essential defense against UV rays with broad-spectrum protection - a critical first step in preventing damage.
Helps keep skin looking younger, longer.
Non-Acnegenic.
Opthalmologist Tested.

Available in 3 skin-typed formulas:
Very Dry to Dry
Dry Combination
Combination Oily

Key Ingredients/Technology:
Enjoy a soothing boost of hydration with this potent de-aging formula.
Helps increase skin's reserves of Hyaluronic Acid, nature's perfect moisture magnet.
Plankton Extract, a special enzyme activated during the day by sunlight, helps support skin's natural repair.

Clinique Clean Philosophy:
No parabens
No phthalates
No fragrance
Just happy skin

What else is this product free of?
Oil Free, Free of Denatured Alcohol, SLS Free, SLES Free, Sulfate Free.","Active: Avobenzone 3.0%, Octisalate 5.0%.

Inactive: Water / Aqua / Eau, Glycerin, Butyloctyl Salicylate, Butyrospermum Parkii (Shea Butter), Polyester-8, Cetearyl Alcohol, Butylene Glycol, Glyceryl Stearate, PEG-100 Stearate, Sucrose Polystearate, Cetyl Alcohol, Dimethicone, Theobroma Grandiflorum Seed Butter, Polyethylene, Nylon-12, Astrocaryum Murumuru Seed Butter, Camellia Sinensis Leaf Extract, Biotin, Sigesbeckia Orientalis (St. Paul'S Wort) Extract, Centaurium Erythraea (Centaury) Extract, Algae Extract, Tamarindus Indica Seed Extract, Whey Protein / Lactis Protein / Protéine Du Petit-Lait, Glycine Soja (Soybean) Protein, Ergothioneine, Acetyl Hexapeptide-8, Saccharomyces Ferment Filtrate, Plankton Extract, Hydrogenated Polyisobutene, Acetyl Glucosamine, Caffeine, Aminopropyl Ascorbyl Phosphate, Caprylyl Glycol, Tocopheryl Acetate, Lecithin, Sodium Hyaluronate, Ammonium Acryloyldimethyltaurate / VP Copolymer, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Polysilicone-11, Potassium Sorbate, Sodium Benzoate, Hydroxyethylcellulose, Citric Acid, Xanthan Gum, Sodium Citrate, Phenoxyethanol, Yellow 5 (CI 19140), Red 4 (CI 14700).

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",4.3,76%,19 Reviews,https://www.ulta.com/smart-broad-spectrum-spf-15-custom-repair-moisturizer-very-dry-skin?productId=xlsImpprod13511135,3
3,moisturizer,face moisturizer,dry,ELEMIS,Peptide4 Adaptive Day Cream,Size 1.6 oz|Item 2549891,"Price
$62.00","Elemis' Peptide4 Adaptive Day Cream is a unique priming moisturizer that adapts to your skin's needs throughout the day, helping to create a flawless-looking complexion from dawn to dusk.

Featherlight, this daytime moisturizer has a soft mousse texture that delivers an instant burst of cooling hydration to the skin. Balancing mineral microspheres selectively absorb excess oil for a mattifying effect that never leaves your skin feeling dry.

What Is It? A daily moisturizer that primes the skin, leaving it with a satin-matte finsh that never feels dry.

Why use it? Your skin's oil production tends to peak in the early afternoon, leading to excess shine in the T-zone. This daily moisturizer adaptives to your skin's needs; it contains mineral microspheres that help absorb excess oil, keeping your complexion looking balanced and smooth throughout the day.

Who Is It For? Formulated for all skin types.

Key Ingredients:
Skin-synchronizing Peptide4 and cold-pressed Honesty Seed Oil help support the skin's moisture barrier
Swiss botanical extracts including Butterfly Bush, Thyme and Mallow help maintain the skin's natural defenses against the environment.

Visible Results:
94% agreed the product left skin looking mattified and balanced*
94% agreed this product primed my skin beautifully for makeup application*
92% agreed the product helped perfect the appearance of my skin*
91% agreed the product adapted to my skin's needs and left my skin looking and feeling refreshed*

*INDEPENDENT USER TRIALS

This product is free from:
Artificial color
Parabens
SLS
SLES
DEA
Mineral oil

The ELEMIS Promise: Active Plant Extracts Skin Kind Results-Driven Formulations.","Aqua/Water/Eau, Cetearyl Alcohol, Mica, Dicaprylyl Ether, Caprylic/Capric Triglyceride, Theobroma Cacao (Cocoa) Seed Butter, Aluminum Starch Octenylsuccinate, Silica, Sodium Acrylates Copolymer, Phenoxyethanol, Lunaria Annua (Honesty) Seed Oil, Butyrospermum Parkii (Shea) Butter, Chlorphenesin, Lecithin, Glycerin, Fragrance (Parfum), Capsanthin/Capsorubin, Limonene, Cananga Odorata Flower Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Eugenia Caryophyllus (Clove) Bud Oil, Juniperus Mexicana Oil, Lavandula Angustifolia (Lavender) Oil, Buddleja Davidii (Butterfly Bush) Leaf Extract, Thymus Vulgaris (Thyme) Flower/Leaf Extract, Malva Sylvestris (Mallow) Flower/Leaf/Stem Extract, Hydrolyzed Yeast Protein, Eugenol, Linalool, Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil, Polianthes Tuberosa Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Vetiveria Zizanoides Root Oil, Sodium Benzoate, Sodium Hydroxide, Tocopherol, Citric Acid, Potassium Sorbate, Helianthus Annuus (Sunflower) Seed Oil, Anthemis Nobilis Flower Oil, Citrus Aurantium Flower Oil, Cymbopogon Nardus (Citronella) Oil, Jasminum Officinale (Jasmine) Flower Extract, Jasminum Sambac (Jasmine) Flower Extract, Litsea Cubeba Fruit Oil, Myrocarpus Fastigiatus Oil, Citrus Aurantium Amara (Bitter Orange) Flower Oil.",4.3,88%,47 Reviews,https://www.ulta.com/peptide4-adaptive-day-cream?productId=pimprod2007063,3
4,moisturizer,face moisturizer,dry,Dr Roebuck's,No Worries Hydrating Face Moisturizer,Size 1.69 oz|Item 2555058,"Price
$45.00","Dr Roebuck's No Worries Hydrating Face Moisturizer multi-benefit cream that leaves skin hydrated, dewy, and smooth-AM to PM.

100% Clean On Purpose:
Cruelty Free
Vegan*
No Parabens
No Sulfates
No Synthetic Fragrances
No Harmful Chemicals
No Phthalates
No Silicones
No Fillers

Science Is Everything:
Clinically-backed ingredients that deliver proven results
Functional ingredients at efficacious levels in each and every product
Highest quality, high potent ingredients
Dermatologist-grade formulations

Naturally Sourced With A Conscience:
Sustainably sourced from the purest places on earth
Unique indigenous ingredients from Australia
All ingredients are plant-based
Dr Roebuck's handpicks every vitamin, antioxidant and active ingredient to ensure maximum efficacy

Integrity Is In Dr Roebuck's Transparency:
Dr Roebuck's follows the supply chain of each raw ingredient suppliers
They always use the highest quality suppliers they can find
Transparency the entire way","Purified Water, Macadamia Ternifolia Seed Oil, Glycerin, Glyceryl Stearate, Sodium Polyacrylate, Sodium Hyaluronate, Glyceryl Caprylate, Cetearyl Glucoside, Cetearyl Alcohol, Tocopheryl Acetate (Vitamin E), Polyethylene Glycol, Stearic Acid, Lavandula Angustifolia (Lavender) Oil, Rosa Canina (Rose Hip) Fruit Oil, Sodium Benzoate.",4.8,100%,15 Reviews,https://www.ulta.com/no-worries-hydrating-face-moisturizer?productId=pimprod2011500,3
5,moisturizer,face moisturizer,dry,Neutrogena,Travel Size Rapid Wrinkle Repair Regenerating Cream,Size 0.5 oz|Item 2554021,"Price
$12.99","Reveal visibly younger, healthier-looking skin in one week with Neutrogena Travel Size Rapid Wrinkle Repair Regenerating Cream. The face and neck cream comes in a convenient mini travel size. This anti-wrinkle facial cream with hyaluronic acid & retinol contains a combination of ingredients that helps regenerate, moisturize & smooth your skin. Formulated with Retinol SA, it works to continuously renew the look of your skin by helping reduce the look of wrinkles & diminish the look of age spots. The moisturizing face cream also contains Glucose Complex, a Retinol SA booster that helps accelerate your skin's surface activity for rapid improvement in the appearance of fine lines and wrinkles. This anti-wrinkle cream contains hyaluronic acid & helps hydrate, replenish & rejuvenate the look of dull skin. Neutrogena Rapid Wrinkle Repair is gentle enough for daily use, day or night.

Benefits:
In a convenient travel size, the hyaluronic acid & retinol anti-wrinkle cream regenerates skin
Delivers our highest concentration of anti-wrinkle Accelerated Retinol SA into the skin's surface
Works to reveal visibly younger skin in just one week, and reduces the look of deep wrinkles
Moisturizing face & neck cream is clinically proven to quickly reduce the look of fine lines
This formula plumps skin with moisture rich replenishers. It hydrates & rejuvenates dull skin
Features Glucose Complex which helps accelerate skin's natural surface activity for rapid results
Brightens skin tone while reducing the look of winkles, including crow's feet & forehead wrinkles","Water, Pentaerythrityl Tetraethylhexanoate, Glycerin, Dimethicone, PPG-15, Stearyl Alcohol, Cetearyl Alcohol, Butylene Glycol, Glyceryl Behenate, Ceteareth-20, Isohexadecane, Cyclopentasiloxane, Dimethiocone Crosspolymer, Polyethylene, Sodium Polyacrylate, Phenoxyethanol, Caprylyl Glycol, Sodium Acryloyldimethyltaurate/VP Crosspolymer, Polyacrylamide, Fragrance, C13-14 Isoparaffin, PTFE, Chlorphenesin, Polysorbate 20, Hydrolyzed Myrtus Communis Leaf Extract, Retinol, BHT, Sodium Hyaluronate, Disodium EDTA, Laureth-7, Sodium Hydroxide, Ascorbic Acid.",4.3,87%,2285 Reviews,https://www.ulta.com/travel-size-rapid-wrinkle-repair-regenerating-cream?productId=pimprod2009569,3
6,moisturizer,face moisturizer,dry,Philosophy,Travel Size Ultimate Miracle Worker SPF 30,Size 0.5 oz|Item 2288780,"Price
$28.00","Did you know that your skin can actually improve with age? The experts at Philosophy skin labs have developed one miraculous product with two uniquely powerful approaches to anti-aging. Ultimate Miracle Worker helps protect and defend your skin so completely, it can naturally rejuvenate itself better than ever before. Simultaneously address all key signs of aging with this groundbreaking moisturizer containing powerful, dermatologically proven skin rejuvenators and full spectrum (4 types) protection from the sun's harmful rays. Together, this innovative new-generation formula with patented technology helps skin rebuild as it protects from sun damage, offering exceptional advanced treatment for aging skin.

After one use, skin is soft and hydrated*; over time, experience improved skin density and radiance, the appearance of wrinkles significantly reduced and dramatically firmer skin with smaller pores.*

*8-week independent clinical study with 33 women aged 44-65","Active Ingredients: Avobenzone (2.7%), Octinoxate (6.99%), Octocrylene (2%).
Inactive Ingredients: Water, C12-15 Alkyl Benzoate, Carthamus Tinctorius (Safflower) Oleosomes, Glycerin, Cyclopentasiloxane, Butylene Glycol, Methyl Gluceth-20, Gluconolactone, Polyacrylamide, Hydrogenated Lecithin, Cyclohexasiloxane, Cetyl Alcohol, Bifida Ferment Lysate, Phenoxyethanol, Ammonium Acryloyldimethyltaurate/Vp Copolymer, C13-14 Isoparaffin, Polysorbate 80, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Benzoate, Sodium Hydroxide, Laureth-7, Glycine Soja (Soybean) Oil, Fragrance, Iris Pallida Root Extract, Ruby Powder, Disodium Edta, Gluconic Acid, Alcohol, Mica, Lecithin, Adenosine, Cellulose Gum, Retinol, Peg-8, Polysorbate 20, BHT, Chitosan, Ethylhexylglycerin, Glycolic Acid, Sorbitan Oleate, Calcium Gluconate, Tocopherol, Behentrimonium Chloride, Sodium Bicarbonate, Ascorbyl Palmitate, Beta-Glucan, Potassium Phosphate, Caprylyl Glycol, 1,2-Hexanediol, Camellia Sinensis Leaf Extract, Coffea Arabica (Coffee) Seed Extract, Pongamia Pinnata Seed Extract, Isopropyl Alcohol, Acetic Acid, Angelica Archangelica Root Extract, Benzoic Acid, Citrus Aurantium Amara (Bitter Orange) Peel Extract, Maltodextrin, Citric Acid, Magnesium Aluminum Silicate, Xanthan Gum, Lactic Acid, Ascorbic Acid, Sclerotium Gum, BHA, Sorbic Acid, Titanium Dioxide (Ci 77891).",4.4,87%,1005 Reviews,https://www.ulta.com/travel-size-ultimate-miracle-worker-spf-30?productId=xlsImpprod12661071,3
7,moisturizer,face moisturizer,dry,e.l.f. Cosmetics,Daily Hydration Moisturizer,Size 2.53 oz|Item 2500311,"Price
$8.00","e.l.f. Cosmetics Daily Hydration Moisturizer is a lightweight, lightly scented moisturizer that helps hydrate and nourish for glowing, healthy looking skin. Infused with purified water and skin-nourishing jojoba, aloe, Vitamin E and cucumber to help soothe and protect the delicate skin area. Rich in antioxidants such as Shea butter, grape and orange.

All e.l.f. Skincare products are free from Parabens, Sulfates, and Phthalates! Cruelty free and vegan.

Find your e.l.f. cosmetics skincare routine here.","Water (Aqua), Butylene Glycol, Hydrogenated Polyisobutene, Glycerin, Dimethicone, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea Butter), Steareth-21, Steareth-2, Stearic Acid, Cetearyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Vitis Vinifera (Grape) Seed Oil, Aloe Barbadensis Leaf Extract, Chrysanthellum Indicum Extract, Triethanolamine, Acrylates / C10-30 Alkyl Acrylate Crosspolymer, Tocopheryl Acetate (Ve), Disodium EDTA, Cucumis Sativus (Cucumber) Fruit Extract, Saccharum Officinarum (Sugar Cane) Extract, Vaccinium Myrtillus Fruit / Leaf Extract, Citrus Sinensis (Orange) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Citrus Limon (Lemon) Fruit Extract Phenoxyethanol, Caprylyl Glycol, Fragrance (Parfum).",4,78%,144 Reviews,https://www.ulta.com/daily-hydration-moisturizer?productId=xlsImpprod14481069,3
8,moisturizer,face moisturizer,dry,Aveeno,Daily Moisturizer,Size 4.0 oz|Item 2078389,"Price
$18.99","Aveeno Active Naturals Clear Complexion Daily Moisturizer is a light, fast-absorbing moisturizer that has a unique skin-clearing formula that contains Total Soy Complex to help naturally even out skin tone and smooth texture. Contains Salicylic Acid to help clear up and prevent blemishes, leaving skin clear, smooth and even-looking. This lightly-scented moisturizer is oil-free, hypoallergenic, and will not clog pores.","Active: Salicylic Acid 0.5%. Inactive: Arachidyl Alcohol, Arachidyl Glucoside, Behenyl Alcohol, BHT, Bis-Phenylpropyl, Dimethicone, C12-15 Alkyl Benzoate, C13-14 Isoparraffin, Cetearyl Alcohol, Cetearyl Glucoside Dimethicone, Disodium Edta, Ethylene/Arylic Acid Copolymer, Fragrance, Glycerin, Glycine Soja (Soybean) Seed Extract, Isoceteth-20, Laureth-7, Methyl Glueth-20, Polyacrylamide, Ppg-10 Cethyl Ether, Water.",4.2,85%,370 Reviews,https://www.ulta.com/daily-moisturizer?productId=xlsImpprod640006,3
9,moisturizer,face moisturizer,dry,Shiseido,BioPerformance LiftDynamic Cream,Size 1.69 oz|Item 2306555,"Price
$120.00","This richly moisturizing multi-benefit cream energizes skin's natural restorative ability giving skin a youthfully sculpted appearance. Supports skin's natural inner resources to restore the look of elasticity and moisture while reducing the appearance of visible wrinkles. Dermatologist-tested.

Key Benefits:
Exclusive TruStructiv technology helps harness skin's natural restorative powers for skin that looks firm, lifted and resilient
Super bio-hyaluronic acid plus replenishes skin with deep moisture
RenoCycle system helps encourage a smooth skin renewal process to further improve the appearance of skin
Rich, creamy texture absorbs quickly

Immediately: Skin is smooth, resilient and deeply moisturized.*
In 1 week: Skin becomes firmer and sagging appears improved.*
In 3 weeks: Wrinkles are visibly reduced and facial contours appear more lifted.*

*Results based on self-evaluation by 110-111 females

Find ULTA Beauty stores that carry Shiseido.","Water(Aqua/Eau), Glycerin, Tricaprylin, Butylene Glycol, Dimethicone, Cetyl Alcohol, Glyceryl Stearate SE, PEG-100 Stearate, Myristyl Myristate, Erythritol, PEG/PPG-14/7 Dimethyl Ether, Microcrystalline Wax (Cera Microcristallina/Cire Microcristalline), Hydrogenated Polydecene, Behenyl Alcohol, Dimethylacrylamide/Sodium Acryloyldimethyltaurate Crosspolymer, Stearyl Alcohol, Phenoxyethanol, Hydrogenated Polyisobutene, Phytosteryl Macadamiate, Talc, Methylparaben, Ethylparaben, Silica, Alumina, Disodium EDTA, Sorbitan Tristearate, Tocopheryl Acetate, Caffeine, Sodium Citrate, Titanium Dioxide (CI 77891), Fragrance (Parfum), Citric Acid, Limonene, Sodium Metabisulfite, Sodium Metaphosphate, Inositol, Hexyl Cinnamal, Iron Oxides (CI 77492), Benzyl Benzoate, Butylphenyl Methylpropional, Alcohol, Linalool, Sodium Acetylated Hyaluronate, Alpha-Isomethyl Ionone, Thymus Serpillum Extract, Iron Oxides (CI 77491), Saccharomyces Ferment Lysate Filtrate, Citronellol, Geraniol, Panax Ginseng Root Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract (Rosmarinus Officinalis Leaf Extract), Tocopherol, Bupleurum Falcatum Root Extract.",4.7,97%,65 Reviews,https://www.ulta.com/bioperformance-liftdynamic-cream?productId=xlsImpprod14351119,3
